epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1808.83,1.30504,2.08102,1.24456,0.34211,0.04965,0.00469,0.00196,3.22504,165.089,7.62914,0.0793,0.0023,0.0023
2,1935.44,1.22811,1.28722,1.1665,0.57037,0.05201,0.01532,0.00521,2.82771,118.925,6.04427,0.0576954,0.00469541,0.00469541
3,2135.02,1.22076,1.20738,1.17214,0.7808,0.02128,0.00187,0.0002,4.20823,36.9294,12.1759,0.0360723,0.00707229,0.00707229
4,2313.59,1.15789,1.07944,1.13566,0.66741,0.00236,0.00033,6e-05,4.10825,9.52434,4.41927,0.0144167,0.00941671,0.00941671
5,2611.26,1.13944,1.05389,1.13023,0.29772,0.05899,0.03273,0.0124,2.7471,4.2581,2.22011,0.00984449,0.00984449,0.00984449
6,2886.82,1.05354,0.99069,1.07844,0.78776,0.0418,0.04463,0.01567,2.38723,2.86677,1.95241,0.00975773,0.00975773,0.00975773
7,3287.19,1.00083,0.97914,1.07881,0.38678,0.03406,0.01676,0.00979,3.39927,4.69471,2.41099,0.00965239,0.00965239,0.00965239
8,3640.94,1.05265,0.96149,1.07088,0.47272,0.01956,0.00499,0.00238,2.09732,5.28936,1.73522,0.00952889,0.00952889,0.00952889
9,4181.28,1.01795,0.9233,1.06146,0.70394,0.03879,0.05132,0.02072,1.54943,2.12154,1.15677,0.00938772,0.00938772,0.00938772
10,4520.3,0.98991,0.89174,1.04588,0.66253,0.02901,0.03145,0.02001,1.97506,1.72938,1.74711,0.00922942,0.00922942,0.00922942
11,4744.06,0.97007,0.89109,1.04288,0.94007,0.04384,0.04863,0.02315,2.285,2.25442,2.3846,0.00905463,0.00905463,0.00905463
12,4961.59,0.95676,0.84836,1.03553,0.85226,0.04148,0.0489,0.02784,1.67133,1.58534,1.45611,0.00886404,0.00886404,0.00886404
13,5321.06,0.95158,0.84409,1.04099,0.84486,0.03675,0.04017,0.01989,1.68523,1.56787,1.23003,0.00865839,0.00865839,0.00865839
14,5631.3,0.91368,0.81994,1.03043,0.98374,0.0202,0.02863,0.0127,2.67435,3.29248,1.92349,0.00843851,0.00843851,0.00843851
15,6027.76,0.92238,0.80745,1.02591,0.8252,0.03643,0.04309,0.02349,1.4991,1.30387,1.0928,0.00820525,0.00820525,0.00820525
16,6363.79,0.90846,0.80782,1.01905,0.92915,0.03311,0.0428,0.02166,1.46036,1.18205,1.05671,0.00795954,0.00795954,0.00795954
17,6701.05,0.90766,0.80087,1.02242,0.8116,0.02647,0.03124,0.02426,1.28434,1.09621,0.98891,0.00770234,0.00770234,0.00770234
18,7045.19,0.88862,0.75258,1.00608,0.41797,0.06431,0.06129,0.03886,1.37887,1.14439,1.14845,0.00743468,0.00743468,0.00743468
19,7502.43,0.85676,0.72946,1.00508,0.68041,0.01483,0.0144,0.00966,1.16353,1.00022,0.95395,0.00715761,0.00715761,0.00715761
20,7933.74,0.84063,0.71713,0.99909,0.5241,0.02781,0.03172,0.02069,1.16085,0.98894,0.9696,0.00687222,0.00687222,0.00687222
21,8426.15,0.87312,0.73402,1.00211,0.48434,0.03855,0.03536,0.02256,1.06237,0.81106,0.91679,0.00657963,0.00657963,0.00657963
22,9092.78,0.83147,0.69446,0.99317,0.55915,0.04653,0.04399,0.02325,1.68204,1.23467,1.3208,0.00628101,0.00628101,0.00628101
23,9774.04,0.81855,0.68859,0.97983,0.36244,0.02905,0.0335,0.01986,1.23745,0.90231,1.00998,0.00597754,0.00597754,0.00597754
24,10508.4,0.7859,0.6799,0.98978,0.05137,0.024,0.03977,0.01483,1.84258,1.37265,1.41843,0.0056704,0.0056704,0.0056704
25,11118,0.78094,0.66645,0.96926,0.55867,0.01719,0.02393,0.01626,1.10371,0.85641,0.93957,0.00536081,0.00536081,0.00536081
26,11559.9,0.7446,0.63823,0.97484,0.46815,0.03967,0.03702,0.01892,1.16668,0.94273,0.95675,0.00505,0.00505,0.00505
27,12241,0.76262,0.65782,0.98177,0.54739,0.04472,0.03578,0.01764,1.0614,0.81018,0.91159,0.00473919,0.00473919,0.00473919
28,13083.2,0.76896,0.6586,0.98608,0.2493,0.02845,0.03768,0.02562,1.09366,0.80273,0.89981,0.0044296,0.0044296,0.0044296
